id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-952911";"2020-10-05";"1";"Vente";"158500.0";"20";"None";"RUE HENRI POINCARE";"4430";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0013";"None";"None";"57";"18.63";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"12.0";"1.0";"None";"None";"None";"None";"nan";"2.314669";"48.902628";"0000U"
"2020-952960";"2020-10-02";"1";"Vente";"440000.0";"8";"None";"RUE GEORGES SORET";"4140";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0007";"None";"None";"113";"49.59";"117";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"49.0";"3.0";"None";"None";"None";"None";"nan";"2.31431";"48.902902";"0000U"
"2020-952894";"2020-10-01";"1";"Vente";"280000.0";"48";"None";"BD DU GENERAL LECLERC";"4122";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0016";"None";"None";"35";"35.58";"68";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"31.0";"2.0";"None";"None";"None";"None";"nan";"2.314222";"48.902388";"0000U"
"2020-952881";"2020-09-30";"1";"Vente";"265000.0";"18";"None";"RUE HENRI POINCARE";"4430";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0014";"None";"None";"2";"41.59";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"44.0";"2.0";"None";"None";"None";"None";"nan";"2.314554";"48.902543";"0000U"
"2020-952944";"2020-09-28";"1";"Vente en l'état futur d'achèvement";"480000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"18";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952726";"2020-09-18";"1";"Vente";"20000.0";"8";"None";"RUE ACHILLE ADAM";"0020";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0073";"None";"None";"46";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.315926";"48.902091";"0000U"
"2020-952603";"2020-09-07";"1";"Vente";"536000.0";"18";"None";"RUE HENRI POINCARE";"4430";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0014";"None";"None";"13";"84.49";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"65.0";"4.0";"None";"None";"None";"None";"nan";"2.314554";"48.902543";"0000U"
"2020-952854";"2020-09-02";"1";"Vente";"420000.0";"18";"None";"RUE HENRI POINCARE";"4430";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0014";"None";"None";"12";"68.87";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"50.0";"3.0";"None";"None";"None";"None";"nan";"2.314554";"48.902543";"0000U"
"2020-952529";"2020-07-16";"1";"Vente en l'état futur d'achèvement";"459000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"15";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952529";"2020-07-16";"1";"Vente en l'état futur d'achèvement";"459000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"40";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952528";"2020-07-15";"1";"Vente en l'état futur d'achèvement";"609000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"17";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952528";"2020-07-15";"1";"Vente en l'état futur d'achèvement";"609000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"35";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952528";"2020-07-15";"1";"Vente en l'état futur d'achèvement";"609000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"58";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952309";"2020-07-09";"1";"Vente";"260000.0";"18";"None";"RUE HENRI POINCARE";"4430";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0014";"None";"None";"10";"49.31";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"50.0";"3.0";"None";"None";"None";"None";"nan";"2.314554";"48.902543";"0000U"
"2020-952335";"2020-07-02";"1";"Vente en l'état futur d'achèvement";"809000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"30";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952335";"2020-07-02";"1";"Vente en l'état futur d'achèvement";"809000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"57";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952335";"2020-07-02";"1";"Vente en l'état futur d'achèvement";"809000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"24";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952535";"2020-06-29";"1";"Vente";"62000.0";"4";"B";"RUE GEORGES BOISSEAU";"4130";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0123";"None";"None";"30";"24.3";"68";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"24.0";"2.0";"None";"None";"None";"None";"nan";"2.318357";"48.903237";"0000U"
"2020-952200";"2020-06-24";"1";"Vente en l'état futur d'achèvement";"574000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"34";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952200";"2020-06-24";"1";"Vente en l'état futur d'achèvement";"574000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"14";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952200";"2020-06-24";"1";"Vente en l'état futur d'achèvement";"574000.0";"18";"None";"RUE MADAME DE STAEL";"6115";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0030";"None";"None";"59";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.315003";"48.902798";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"21";"22.57";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"23.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"22";"21.15";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"21.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"20";"22.09";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"21.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"27";"23.44";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"24.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"8";"22.27";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"23.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"5";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"18.0";"2.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"18";"21.26";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"21.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"9";"20.48";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"20.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"2";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"8.0";"0.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"17";"22.72";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"23.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"13";"22.31";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"23.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"7";"20.81";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"22.0";"2.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"3";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"22.0";"2.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"25";"22.49";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"23.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"19";"23.91";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"24.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"24";"21.77";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"22.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"23";"23.47";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"24.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"12";"21.91";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"21.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"4";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"24.0";"2.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
"2020-952306";"2020-06-17";"1";"Vente";"3402345.0";"155";"None";"BD VICTOR HUGO";"9640";"92110";"92024";"Clichy";"92";"None";"None";"920240000U0136";"None";"None";"16";"21.96";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"21.0";"1.0";"None";"None";"None";"None";"nan";"2.31963";"48.903483";"0000U"
